word,onsets,offsets
consigne,383.05,384.08
répondit,384.75,385.22
l',385.22,385.27
allumeur,385.27,385.88
bonjour,386.65,387.6
qu',388.46,388.51
est,388.51,388.62
ce,388.62,388.72
que,388.72,388.84
la,388.84,388.97
consigne,388.97,389.66
c',390.54,390.68
est,390.68,390.71
d',390.84,390.88
éteindre,390.88,391.27
mon,391.35,391.43
réverbère,391.43,392.22
bonsoir,392.8,393.87
et,394.75,394.95
il,394.95,395.12
le,395.12,395.14
ralluma,395.14,395.66
mais,396.61,396.89
pourquoi,396.89,397.24
viens,397.24,397.42
tu,397.42,397.56
de,397.56,397.63
le,397.63,397.78
rallumer,397.78,398.35
c',398.95,399.11
est,399.11,399.15
la,399.15,399.28
consigne,399.28,400.11
répondit,400.56,400.96
l',400.96,401.05
allumeur,401.05,401.64
je,402.58,402.71
ne,402.71,402.86
comprends,402.86,403.27
pas,403.27,403.54
dit,403.86,404.13
le,404.13,404.25
petit,404.25,404.5
prince,404.5,405.08
il,405.65,405.81
n',405.81,405.85
y,405.85,405.96
a,405.96,406.0
rien,406.0,406.22
à,406.22,406.32
comprendre,406.32,407.15
dit,407.49,407.67
l',407.67,407.73
allumeur,407.73,408.36
la,408.75,408.89
consigne,408.89,409.45
c',409.45,409.57
est,409.57,409.61
la,409.61,409.71
consigne,409.71,410.43
bonjour,410.83,411.62
et,412.52,412.63
il,412.63,412.79
éteignit,412.79,413.25
son,413.25,413.45
réverbère,413.45,414.17
puis,415.25,415.63
il,415.63,415.66
s',415.66,415.69
épongea,415.69,416.25
le,416.25,416.4
front,416.4,416.75
avec,416.87,417.19
un,417.19,417.24
mouchoir,417.24,417.75
à,417.75,417.82
carreaux,417.82,418.14
rouges,418.14,418.69
je,419.61,419.8
fais,419.8,419.96
là,419.96,420.11
un,420.2,420.23
métier,420.23,420.56
terrible,420.56,421.2
c',421.51,421.63
était,421.63,421.84
raisonnable,421.84,422.41
autrefois,422.41,422.91
j',423.39,423.55
éteignais,423.55,423.93
le,423.93,424.04
matin,424.04,424.49
et,424.49,424.52
j',424.52,424.63
allumais,424.63,424.94
le,424.94,425.06
soir,425.06,425.62
j',426.22,426.35
avais,426.41,426.54
le,426.54,426.64
reste,426.64,427.03
du,427.03,427.18
jour,427.18,427.57
pour,427.57,427.71
me,427.71,427.83
reposer,427.83,428.43
et,428.8,428.87
le,428.87,428.97
reste,428.97,429.36
de,429.36,429.46
la,429.46,429.58
nuit,429.58,429.78
pour,429.78,429.96
dormir,429.96,430.51
et,431.88,432.12
depuis,432.17,432.4
cette,432.4,432.61
époque,432.61,433.09
la,433.28,433.46
consigne,433.46,433.93
a,433.93,433.96
changé,433.96,434.47
la,435.32,435.43
consigne,435.43,435.94
n',435.94,435.98
a,435.98,436.06
pas,436.06,436.25
changé,436.25,436.82
dit,437.01,437.21
l',437.21,437.27
allumeur,437.27,437.83
c',438.22,438.38
